date,silver_spot
2013-01-21,31.99
2013-01-22,32.19
2013-01-23,32.24
2013-01-24,31.63
2013-01-25,31.14
2013-01-28,30.84
2013-01-29,31.38
2013-01-30,32.02
2013-01-31,31.41
2013-02-01,31.8
2013-02-04,31.72
2013-02-05,31.78
2013-02-06,31.81
2013-02-07,31.44
2013-02-08,31.39
2013-02-11,30.99
2013-02-12,31.08
2013-02-13,30.75
2013-02-14,30.37
2013-02-15,29.75
2013-02-18,29.94
2013-02-19,29.42
2013-02-20,28.53
2013-02-21,28.64
2013-02-22,28.69
2013-02-25,29.01
2013-02-26,29.36
2013-02-27,28.99
2013-02-28,28.51
2013-03-01,28.55
2013-03-04,28.55
2013-03-05,28.66
2013-03-06,29.01
2013-03-07,28.87
2013-03-08,28.96
2013-03-11,28.95
2013-03-12,29.1
2013-03-13,28.87
2013-03-14,28.78
2013-03-15,28.73
2013-03-18,28.84
2013-03-19,28.87
2013-03-20,28.76
2013-03-21,29.13
2013-03-22,28.67
2013-03-25,28.81
2013-03-26,28.71
2013-03-27,28.5963763807
2013-03-28,28.303292755
2013-03-29,28.2701495491
2013-03-30,28.2701495491
2013-03-31,28.2701495491
2013-04-01,28.0563841235
2013-04-02,27.5465130976
2013-04-03,27.2977661423
2013-04-04,27.2790396604
2013-04-05,27.5750408104
2013-04-06,27.2650434877
2013-04-07,27.2650434877
2013-04-08,27.2328070212
2013-04-09,27.7059999457
2013-04-10,27.5252687816
2013-04-11,27.5371125781
2013-04-12,26.4861559715
2013-04-13,26.0851419032
2013-04-14,26.0851419032
2013-04-15,24.6599030239
2013-04-16,24.9704720873
2013-04-17,24.9323116845
2013-04-18,24.9175106026
2013-04-19,24.8939398545
2013-04-20,25.8558279036
2013-04-21,25.8558279036
2013-04-22,24.9742765663
2013-04-23,24.7892659808
2013-04-24,23.067555576
2013-04-25,23.910570496
2013-04-26,23.6717359236
2013-04-27,23.5205569668
2013-04-28,23.5205569668
2013-04-29,23.962489387
2013-04-30,23.8959738578
2013-05-01,23.3737813325
2013-05-02,23.6237573209
2013-05-03,23.7726399334
2013-05-04,23.6266981689
2013-05-05,23.6266981689
2013-05-06,23.7245263916
2013-05-07,23.6469010292
2013-05-08,23.6864822703
2013-05-09,23.6032207767
2013-05-10,23.5779494002
2013-05-11,23.4587595008
2013-05-12,23.4587595008
2013-05-13,23.5181818134
2013-05-14,23.3342787801
2013-05-15,22.8292083102
2013-05-16,22.8564270591
2013-05-17,22.6090453173
2013-05-18,22.8034570041
2013-05-19,22.8034570041
2013-05-20,22.9214070688
2013-05-21,22.6958505873
2013-05-22,22.6358129395
2013-05-23,22.7751970674
2013-05-24,22.7095949493
2013-05-25,22.8780599405
2013-05-26,22.8780599405
2013-05-27,22.7947712441
2013-05-28,22.5512193809
2013-05-29,22.7242432574
2013-05-30,22.8939964119
2013-05-31,22.5644049685
2013-06-01,22.7458829952
2013-06-02,22.7458829952
2013-06-03,22.9012064475
2013-06-04,22.7053534875
2013-06-05,22.7515801437
2013-06-06,22.8555103303
2013-06-07,22.7130390701
2013-06-08,23.2904788522
2013-06-09,23.2904788522
2013-06-10,22.8086131319
2013-06-11,22.7020128264
2013-06-12,22.7905243464
2013-06-13,22.7715116273
2013-06-14,22.8553926449
2013-06-15,23.2904788522
2013-06-16,23.2861400894
2013-06-17,22.7832737055
2013-06-18,22.7130390701
2013-06-19,22.5906462668
2013-06-20,21.8983306038
2013-06-21,22.1094155927
2013-06-22,23.2861400894
2013-06-23,23.2861400894
2013-06-24,21.9332580074
2013-06-25,21.9066811484
2013-06-26,21.4419188038
2013-06-27,21.4174738107
2013-06-28,21.9166248228
2013-06-29,19.4529821422
2013-06-30,19.4529821422
2013-07-01,19.5612101869
2013-07-02,19.3065307345
2013-07-03,19.6879846066
2013-07-04,19.6276290351
2013-07-05,19.3857043708
2013-07-06,18.7241372854
2013-07-07,18.7276438751
2013-07-08,19.0313054847
2013-07-09,19.158546413
2013-07-10,19.2114275813
2013-07-11,19.9937028125
2013-07-12,19.8071487171
