date,signal,holding_days,today_price,future_price,forward_return_pct,asset
2023-04-14,BUY,5,2002.199951171875,1979.5,-1.1337504607663615,gold
2023-05-02,SELL,5,2014.300048828125,2036.199951171875,-1.0872214572248498,gold
2023-07-27,BUY,5,1945.4000244140625,1932.0,-0.6888056053200919,gold
2023-08-29,SELL,5,1936.5,1918.0999755859375,0.9501690892880197,gold
2023-09-27,BUY,5,1871.5999755859375,1818.5,-2.837143421596467,gold
2023-10-13,SELL,5,1927.4000244140625,1982.5,-2.858772174327855,gold
2023-11-10,BUY,5,1932.5999755859375,1981.5999755859375,2.5354445109699375,gold
2023-11-16,SELL,5,1983.9000244140625,2002.199951171875,-0.9224218223001089,gold
2023-12-04,BUY,5,2024.0999755859375,1978.0,-2.2775542780485662,gold
2024-02-13,BUY,5,1992.9000244140625,2022.300048828125,1.4752382986550705,gold
2024-03-01,SELL,5,2086.89990234375,2178.60009765625,-4.394086904192846,gold
2024-03-04,SELL,5,2117.699951171875,2182.5,-3.0599258781805463,gold
2024-04-05,SELL,5,2325.699951171875,2356.199951171875,-1.3114331444446066,gold
2024-04-22,BUY,5,2332.199951171875,2345.39990234375,0.5659871129506858,gold
2024-06-07,BUY,5,2305.199951171875,2331.39990234375,1.1365587249191096,gold
2024-10-31,BUY,5,2738.300048828125,2698.39990234375,-1.45711374841667,gold
2024-11-06,BUY,5,2667.60009765625,2580.800048828125,-3.253862859893708,gold
2024-11-11,BUY,5,2611.199951171875,2610.60009765625,-0.022972331757121586,gold
2024-11-25,BUY,5,2616.800048828125,2644.699951171875,1.0661839583901087,gold
2025-02-14,BUY,5,2883.60009765625,2947.89990234375,2.2298447256872405,gold
2025-02-25,BUY,5,2904.5,2909.60009765625,0.17559296458082285,gold
2025-04-03,BUY,5,3097.0,3155.199951171875,1.8792363956046172,gold
2025-04-04,BUY,5,3012.0,3222.199951171875,6.978750038906872,gold
2025-07-21,SELL,5,3401.89990234375,3309.10009765625,2.7278816940958572,gold
2025-10-09,BUY,5,3946.300048828125,4280.2001953125,8.46109374231512,gold
2025-10-17,BUY,5,4189.89990234375,4118.39990234375,-1.7064846814121803,gold
2025-10-21,BUY,5,4087.699951171875,3966.199951171875,-2.972331664538342,gold
2025-12-22,SELL,5,4444.60009765625,4370.10009765625,1.676191296474248,gold
2025-12-29,BUY,5,4325.10009765625,4482.2001953125,3.632288134588648,gold
2026-01-29,BUY,5,5318.39990234375,4861.39990234375,-8.5928100254102,gold
2026-01-30,BUY,5,4713.89990234375,4951.2001953125,5.0340545595964885,gold
