date,gold_futures,silver_futures,gold_spot,silver_spot,gold_premium_pct,silver_premium_pct,gold_signal,silver_signal,gold_mean_20,gold_std_20,silver_mean_20,silver_std_20,gold_zscore,silver_zscore,gold_signal_z,silver_signal_z
2022-04-06,1918.4000244140625,24.45499992370605,1920.2198574928,24.2920000038,-0.09477212057965076,0.6710024694572481,HOLD,HOLD,-0.07043723880245092,0.4615551025278984,0.46546172559658705,0.844115322089988,-0.05272367620663219,0.24349841601234326,HOLD,HOLD
2022-04-07,1933.800048828125,24.732999801635746,1932.3600551032,24.6230000168,0.0745199488636751,0.4467359166661055,HOLD,HOLD,-0.06661075896732602,0.46246857946264003,0.43349793746513354,0.8313881099704697,0.30516820838939224,0.015922742991167114,HOLD,HOLD
2022-04-08,1941.5999755859373,24.819000244140625,1947.1201119983,24.7790000017,-0.2835026138524903,0.16142799321151963,HOLD,HOLD,-0.0681080094867137,0.4631536446034253,0.38383513190545365,0.8155560673444494,-0.4650607997486622,-0.27270612971848635,HOLD,HOLD
2022-04-11,1944.300048828125,24.97800064086914,1953.0899054158,25.0769999943,-0.4500487439570172,-0.39478148683399694,HOLD,HOLD,-0.1045810960171003,0.463068531517266,0.3338076240065221,0.8317526388634838,-0.7460400014830975,-0.875968499283719,HOLD,HOLD
2022-04-12,1972.0999755859373,25.725000381469727,1965.3999205585,25.3800000199,0.3409003408086672,1.3593394850245042,HOLD,SELL,-0.1178460857266375,0.4450867086369805,0.3598304694347747,0.8561697972750816,1.030690015300963,1.1674191483638543,HOLD,HOLD
2022-04-13,1981.0,26.020000457763672,1978.7400214614,25.7126000256,0.11421301000072619,1.1955244971633252,HOLD,SELL,-0.06211707522658486,0.3958225838910352,0.5151121224783461,0.6879038018698044,0.4454775760744678,0.9891097749940286,HOLD,HOLD
2022-04-14,1970.9000244140625,25.690000534057617,1970.310183962,25.6399999753,0.029936426094916115,0.19500997974174866,HOLD,HOLD,-0.060851840264049696,0.3960875281114137,0.47572119353782283,0.6822445534474948,0.22921263588342117,-0.4114524804596737,HOLD,HOLD
2022-04-18,1982.9000244140625,26.13999938964844,1976.6400676802,25.8200000166,0.31669684512715773,1.2393469126363585,HOLD,SELL,-0.003639623039697565,0.36056076856624114,0.6026874973759873,0.5596661888510527,0.8884396087812422,1.137569908533119,HOLD,HOLD
2022-04-19,1955.699951171875,25.391000747680664,1948.8500907482,25.0820000183,0.35148216151634143,1.2319620809951939,HOLD,SELL,0.034061773276019634,0.3560481010528275,0.6500056341841539,0.5713308608947291,0.8915098474102676,1.0185979554818214,HOLD,HOLD
2022-04-20,1952.300048828125,25.270000457763672,1955.2100482155,25.1438499772,-0.1488330826670432,0.5017150542898734,HOLD,HOLD,0.02703718589219104,0.35830745127794766,0.6520805559028371,0.5706803059207098,-0.49083620207163225,-0.26348465165688656,HOLD,HOLD
2022-04-21,1944.9000244140625,24.621000289916992,1952.1599771675,24.6558999792,-0.3718933303802003,-0.14154701029956504,HOLD,HOLD,0.03470572427539418,0.3473382305887149,0.6450031912055099,0.5799944859220301,-1.1706141704195259,-1.3561339298850035,HOLD,HOLD
2022-04-22,1931.0,24.256999969482425,1931.5299668182,24.1129999802,-0.02743766999757821,0.5971881947524871,HOLD,HOLD,0.026340095092530817,0.3466861655403994,0.6059727432026085,0.5537579859784355,-0.15511944356441962,-0.01586351560167573,HOLD,HOLD
