date,asset,signal,holding_days,today_price,future_price,forward_return_pct
2025-07-21,gold,SELL,5,3401.89990234375,3309.10009765625,2.7278816940958572
2025-07-21,gold,SELL,10,3401.89990234375,3374.39990234375,0.808371815439184
2025-07-21,gold,SELL,20,3401.89990234375,3331.699951171875,2.063551344456388
2025-10-09,gold,BUY,5,3946.300048828125,4280.2001953125,8.46109374231512
2025-10-09,gold,BUY,10,3946.300048828125,4125.5,4.54096112699513
2025-10-09,gold,BUY,20,3946.300048828125,3979.89990234375,0.8514267313658184
2025-10-17,gold,BUY,5,4189.89990234375,4118.39990234375,-1.7064846814121803
2025-10-17,gold,BUY,10,4189.89990234375,3982.199951171875,-4.95715783223584
2025-10-17,gold,BUY,20,4189.89990234375,4087.60009765625,-2.441581113436038
2025-10-21,gold,BUY,5,4087.699951171875,3966.199951171875,-2.972331664538342
2025-10-21,gold,BUY,10,4087.699951171875,3947.699951171875,-3.424908913871341
2025-10-21,gold,BUY,20,4087.699951171875,4061.300048828125,-0.6458375775888734
2025-12-22,gold,SELL,5,4444.60009765625,4370.10009765625,1.676191296474248
2025-12-22,gold,SELL,10,4444.60009765625,4449.2998046875,-0.10573970499006816
2025-12-22,gold,SELL,20,4444.60009765625,4908.7998046875,-10.4441276342507
2025-12-29,gold,BUY,5,4325.10009765625,4482.2001953125,3.632288134588648
2025-12-29,gold,BUY,10,4325.10009765625,4589.2001953125,6.106219317313939
2025-12-29,gold,BUY,20,4325.10009765625,5301.60009765625,22.57751214889016
2026-01-29,gold,BUY,5,5318.39990234375,4861.39990234375,-8.5928100254102
2026-01-29,gold,BUY,10,5318.39990234375,4923.7001953125,-7.421399561498017
2026-01-29,gold,BUY,20,5318.39990234375,5230.5,-1.6527509017329376
2026-01-30,gold,BUY,5,4713.89990234375,4951.2001953125,5.0340545595964885
2026-01-30,gold,BUY,10,4713.89990234375,5022.0,6.535991515285734
2026-01-30,gold,BUY,20,4713.89990234375,5294.39990234375,12.31464418053034
2024-03-21,silver,BUY,5,24.849000930786133,24.79700088500977,-0.20926413066345578
2024-03-21,silver,BUY,10,24.849000930786133,27.399999618530273,10.266001014888433
2024-03-21,silver,BUY,20,24.849000930786133,28.808000564575195,15.932228602736883
2024-04-22,silver,BUY,5,27.21299934387207,27.37299919128418,0.5879537400133689
2024-04-22,silver,BUY,10,27.21299934387207,27.368999481201172,0.5732559478572519
2024-04-22,silver,BUY,20,27.21299934387207,32.20500183105469,18.344183322470613
2024-05-17,silver,SELL,5,31.04700088500977,30.329999923706055,2.3094049050319048
2024-05-17,silver,SELL,10,31.04700088500977,30.641000747680664,1.307695190375479
2024-05-17,silver,SELL,20,31.04700088500977,29.325000762939453,5.546429841800722
2024-06-04,silver,BUY,5,29.488000869750977,29.132999420166016,-1.2038844245597002
2024-06-04,silver,BUY,10,29.488000869750977,29.5049991607666,0.05764477249816545
2024-06-04,silver,BUY,20,29.488000869750977,30.54800033569336,3.5946806656185992
2024-06-07,silver,BUY,5,29.334999084472656,29.402000427246097,0.22840069836206545
2024-06-07,silver,BUY,10,29.334999084472656,29.48900032043457,0.5249744018005735
2024-06-07,silver,BUY,20,29.334999084472656,30.77199935913086,4.898586396816435
2024-07-17,silver,BUY,5,30.136999130249023,29.11599922180176,-3.387861890411202
2024-07-17,silver,BUY,10,30.136999130249023,28.777999877929688,-4.509404690380354
2024-07-17,silver,BUY,20,30.136999130249023,27.253999710083008,-9.566312185582868
